label	text
0	30
1	3255
2	450
3	2461
4	7676
5	113
6	173
7	18087
8	163
9	26
10	2333
11	131
12	6220
13	7728
14	33
15	31
16	52287
17	4107
18	64
19	981
20	454
21	421
22	275
23	252
24	94
25	21
26	69
27	59
28	52
29	3570
30	147
31	781
32	6155
33	869
34	356
35	63
36	1135
37	12
38	1464
39	6257
40	740
41	2120
42	23
43	34
44	151
45	51
46	497219
47	1402
48	26
49	2413
50	1078
51	149
52	13453
53	45
54	2494
55	5933
56	4616
57	368249
58	3300
59	190829
60	371
61	150
62	269
63	433
64	61
65	13906
66	422
67	42
68	2806
69	1567
70	160
71	386
72	5103
73	21675
74	26957
75	26
76	198
77	269
78	9758
79	3880
80	3
81	170
82	100
83	5244
84	235
85	110
86	248
87	10547
88	11653
89	312
90	2382
91	4500
92	38
93	100
94	96
95	140
96	17949
97	57
98	21
99	36
100	3661
101	3964
102	14
103	407
104	4408
105	52403
106	72
107	6654
108	1098
109	111
110	655
111	2911
112	434
113	51
114	86
115	103
116	6
117	3202
118	87
119	5522
120	2360
121	21
122	255
123	58
124	42
125	272
126	47
127	10
128	347
129	300
130	74
131	2530
132	130
133	585
134	141
135	4697
136	107866
137	6249
138	57
139	975
140	26
141	24
142	84
143	619
144	335
145	153
146	146
147	53
148	1043
149	3614
150	2449
151	266
152	109
153	35
154	134
155	1521
156	7138
157	2371
158	35
159	20979
160	140
161	110
162	129
163	36
164	116
165	27
166	14985
167	660
168	311
169	2255
170	1208
171	32969
172	269
173	5101
174	29
175	758
176	7289
177	50
178	63
179	2981
180	994
181	18301
182	2516
